P2P_Vel,Avg_Vel,Var_Vel,P2P_Ax,Var_Ax,P2P_Ay,Var_Ay,Var_LO,P2P_LO,Var_HA,P2P_HA,P2P_Pedal,Avg_Pedal,Var_Pedal,Var_Str,P2P_Str,Var_DStr,P2P_DStr,Avg_FrontDist,HandPress,Avg_HR,Class
0.018044714,0.527071314,0.000259207,0.002332752,1.90E-06,0.075502966,0.006503196,0.283464187,0.942622692,0.036057626,0.130180216,0.003975,0.244742479,3.33E-06,0.005589488,0.095828973,0.000365224,0.023017903,0.916407005,0.86914378,0.280125196,0
0.018383445,0.527224452,0.000261521,0.002322755,1.90E-06,0.075502966,0.005806895,0.283146049,0.942622692,0.035808206,0.130180216,0.003975,0.244594084,1.70E-06,0.004570816,0.093885484,0.000365224,0.023017903,0.93260858,0.878836834,0.279342723,0
0.018720852,0.527379419,0.000263067,0.002322755,1.91E-06,0.075502966,0.005059579,0.282214709,0.942622692,0.035236142,0.130180216,0,0.244445689,0,0.003629345,0.080879055,0.000300688,0.020460358,0.948902771,0.891760905,0.27856025,0
0.019053125,0.527538045,0.000263145,0.001344594,1.55E-06,0.069547014,0.004268212,0.280387446,0.942622692,0.034266431,0.130180216,0,0.244445689,0,0.002977638,0.060248169,0.000300688,0.020460358,0.965290064,0.904684976,0.277777778,0
0.01930575,0.527699512,0.000261986,0.001344594,1.53E-06,0.065897595,0.003619688,0.277314491,0.942622692,0.032874926,0.130180216,0,0.244445689,0,0.002765547,0.052623711,0.00030434,0.020460358,0.965290064,0.917609047,0.276995305,0
0.019483051,0.527863162,0.000259811,0.001344594,1.56E-06,0.061777477,0.003045103,0.272583488,0.942622692,0.031122296,0.130180216,0,0.244445689,0,0.002704937,0.047839737,0.000300688,0.020460358,0.965290064,0.928917609,0.276212833,0
0.019603461,0.52802833,0.000256845,0.001344594,1.61E-06,0.058073321,0.002550723,0.265715638,0.942622692,0.029099849,0.130180216,0,0.244445689,0,0.002680227,0.04724174,0.000300688,0.020460358,0.965290064,0.940226171,0.27543036,0
0.019647,0.528194519,0.000253259,0.001344594,1.67E-06,0.050568683,0.002124385,0.256169639,0.942622692,0.026891014,0.130082044,0,0.244445689,0,0.002653279,0.046942742,0.000296867,0.020460358,0.965290064,0.951534733,0.274647887,0
0.019603096,0.528361072,0.000249292,0.001344594,1.71E-06,0.042653431,0.001843961,0.243355005,0.942622692,0.024574042,0.128053773,0,0.244445689,0,0.002751028,0.046942742,0.000280223,0.020460358,0.965028055,0.962843296,0.273865415,0
0.019514603,0.528527234,0.000245213,0.001343597,1.70E-06,0.037738593,0.001690352,0.226664153,0.942622692,0.022263084,0.124254306,0,0.244445689,0,0.002882689,0.046942742,0.000280223,0.020460358,0.964113099,0.961227787,0.273865415,0
0.019400814,0.528692615,0.000241151,0.001351664,1.69E-06,0.032885874,0.001601772,0.20548592,0.942622692,0.020062821,0.119469698,0,0.244445689,0,0.003010988,0.046942742,0.000280223,0.020460358,0.962544838,0.959612278,0.273865415,0
0.019273488,0.528856994,0.000237161,0.001380995,1.68E-06,0.030676083,0.001568784,0.17921151,0.942622692,0.018028574,0.114334119,0,0.244445689,0,0.003140945,0.046942742,0.000280223,0.020460358,0.960322886,0.957996769,0.273865415,0
0.019148238,0.529020249,0.000233261,0.001409455,1.66E-06,0.030676083,0.001579507,0.1472492,0.942622692,0.016177378,0.109536086,0,0.244445689,0,0.003277744,0.047690238,0.000266722,0.020460358,0.957446865,0.95638126,0.273865415,0
0.019021675,0.529182409,0.000229416,0.001444383,1.66E-06,0.030676083,0.00160486,0.109024531,0.942622692,0.014489323,0.105588584,0,0.244445689,0,0.003281167,0.047839737,0.000266722,0.020460358,0.971225525,0.954765751,0.273865415,0
0.018890033,0.529343472,0.000225612,0.001475649,1.66E-06,0.031070709,0.001644162,0.063976554,0.442532847,0.012919025,0.102411748,0,0.244445689,0,0.003275041,0.047839737,0.000229274,0.020460358,0.984441147,0.953150242,0.273865415,0
0.018751573,0.529503404,0.000221853,0.001505347,1.64E-06,0.03181603,0.001694904,0.051872727,0.40770024,0.01142558,0.099548951,0,0.244445689,0,0.003333143,0.047839737,0.000229274,0.020460358,0.984441147,0.951534733,0.273865415,0
0.018604033,0.529662157,0.000218154,0.00153351,1.62E-06,0.032275795,0.001750599,0.041860024,0.373066288,0.00998983,0.096361706,0,0.244445689,0,0.003387016,0.047839737,0.000229274,0.020460358,0.984441147,0.949919225,0.273865415,0
0.018450327,0.52981966,0.000214542,0.001534903,1.57E-06,0.03249899,0.001815087,0.033701419,0.338846725,0.008622498,0.092712614,0,0.244445689,0,0.003428059,0.047839737,0.000211951,0.020460358,0.984441147,0.948303716,0.273865415,0
0.018291099,0.529975846,0.000211032,0.00156284,1.53E-06,0.033770575,0.001890933,0.027158518,0.305630702,0.007363708,0.090077415,0,0.244445689,0,0.003549875,0.051726716,0.00021229,0.020460358,0.984441147,0.946688207,0.273865415,0
0.018126307,0.53013065,0.000207627,0.001565199,1.49E-06,0.034374202,0.001970254,0.022001985,0.274080804,0.006253282,0.086885745,0,0.244445689,0,0.003691257,0.053221707,0.00021229,0.020460358,0.984441147,0.945072698,0.273865415,0
0.017961613,0.530284047,0.000204329,0.001538478,1.45E-06,0.034728098,0.002049585,0.018013818,0.244430277,0.005319909,0.083121485,0,0.244445689,0,0.003796471,0.053221707,0.00020796,0.020460358,0.984441147,0.945072698,0.273865415,0
0.017798539,0.530436039,0.000201133,0.001520469,1.42E-06,0.035198348,0.002126079,0.014987045,0.216874292,0.004588379,0.078854352,0,0.244445689,0,0.003870853,0.053221707,0.00020796,0.020460358,0.984441147,0.945072698,0.273865415,0
0.01763893,0.530586639,0.000198027,0.001503355,1.39E-06,0.035687463,0.00219903,0.012731688,0.191564116,0.004069629,0.07432562,0,0.244445689,0,0.003933696,0.053221707,0.00020796,0.020460358,0.984441147,0.945072698,0.273865415,0
0.017483219,0.530735879,0.000194999,0.001487042,1.36E-06,0.036130819,0.002266695,0.011079708,0.168639231,0.003757034,0.069723793,0,0.244445689,0,0.003936602,0.053221707,0.000203799,0.020460358,0.984441147,0.945072698,0.273865415,0
0.017330851,0.530883794,0.000192034,0.00147184,1.34E-06,0.036492705,0.002328189,0.009887501,0.148212172,0.003632439,0.065176477,0,0.244445689,0,0.003951745,0.053221707,9.55E-05,0.012787724,0.984441147,0.945072698,0.273865415,0
0.017179472,0.531030416,0.000189121,0.001473065,1.31E-06,0.036759881,0.002383829,0.009037595,0.130338814,0.003674667,0.060961502,0,0.244445689,0,0.003994825,0.053221707,0.000100541,0.012787724,0.984441147,0.945072698,0.273865415,0
0.017033045,0.531175794,0.000186271,0.00143677,1.28E-06,0.036759881,0.002424963,0.008439962,0.115022798,0.003858696,0.057170448,0,0.244445689,0,0.004000401,0.053221707,0.000100541,0.012787724,0.984441147,0.94184168,0.273865415,0
0.016902077,0.531320062,0.000183519,0.001402167,1.22E-06,0.036759881,0.002421636,0.008032195,0.102257998,0.004139583,0.057201014,0,0.244445689,0,0.004026841,0.053221707,0.000100541,0.012787724,0.984441147,0.938610662,0.273865415,0
0.016782133,0.531463315,0.000180895,0.001368771,1.17E-06,0.036759881,0.002407775,0.007775202,0.100564778,0.004460998,0.057365472,0,0.244445689,0,0.004044108,0.053221707,0.000100541,0.012787724,0.984441147,0.935379645,0.273865415,0
0.016669002,0.531605608,0.000178414,0.00133616,1.12E-06,0.036759881,0.002384559,0.007648785,0.100564778,0.004780092,0.057365472,0,0.244445689,0,0.004054401,0.053221707,9.65E-05,0.010230179,0.984441147,0.932148627,0.273865415,0
0.016555041,0.531746951,0.000176079,0.001325205,1.07E-06,0.036759881,0.002354891,0.007647431,0.100564778,0.005071705,0.057365472,0,0.244445689,0,0.004072073,0.053221707,9.08E-05,0.010230179,0.984441147,0.928917609,0.273865415,0
